simulações,a,b,c,y
1000,518,501,485,466
1000,441,506,512,511
1000,499,498,490,502
1000,473,507,497,494
1000,505,458,532,550
1000,505,494,512,497
1000,509,528,475,482
1000,508,487,519,500
1000,503,518,488,518
1000,517,510,503,486
1000,507,490,467,483
1000,497,513,511,503
1000,498,467,524,497
1000,518,510,513,522
1000,483,512,491,488
1000,492,518,527,493
1000,506,508,466,457
1000,495,491,521,501
1000,515,515,483,505
1000,487,500,508,501
1000,485,499,486,489
1000,501,490,488,493
1000,502,499,494,511
1000,526,509,512,520
1000,483,496,514,520
1000,482,499,507,520
1000,511,496,504,513
1000,533,510,488,488
1000,491,517,498,492
1000,512,501,484,491
1000,490,506,516,481
1000,486,486,508,495
1000,476,491,487,510
1000,516,520,518,495
1000,530,485,470,480
1000,503,506,516,498
1000,486,504,510,517
1000,489,481,522,507
1000,522,512,536,507
1000,506,497,500,492
1000,517,504,488,487
1000,489,508,502,527
1000,497,486,520,486
1000,488,530,472,491
1000,500,506,521,536
1000,501,483,479,491
1000,494,494,499,514
1000,513,503,477,462
1000,513,484,496,495
1000,518,523,493,494
1000,481,488,499,493
1000,520,509,499,508
1000,519,485,484,492
1000,514,514,505,487
1000,494,507,490,526
1000,495,484,510,499
1000,507,475,507,525
1000,477,452,490,487
1000,496,491,513,511
1000,503,510,504,512
1000,516,484,514,514
1000,483,503,478,471
1000,481,511,518,483
1000,465,503,485,500
1000,494,521,479,474
1000,535,508,499,505
1000,488,504,508,467
1000,489,516,506,503
1000,517,485,484,477
1000,521,479,500,507
1000,491,514,523,502
1000,481,488,482,484
1000,484,477,497,491
1000,497,503,504,501
1000,495,491,490,500
1000,507,500,511,507
1000,507,479,501,537
1000,498,486,508,504
1000,507,525,520,514
1000,512,479,494,486
1000,506,501,499,497
1000,490,515,469,490
1000,532,521,481,459
1000,503,500,508,504
1000,494,508,508,481
1000,489,486,476,515
1000,476,487,506,469
1000,512,489,495,480
1000,508,506,527,510
1000,472,501,490,495
1000,516,483,492,495
1000,494,491,494,501
1000,505,511,519,508
1000,492,520,500,490
1000,511,516,482,501
1000,529,492,509,517
1000,507,501,497,523
1000,511,480,489,491
1000,472,524,475,490
1000,472,512,492,501
1000,511,488,519,512
1000,489,476,479,471
1000,491,490,464,468
1000,514,511,484,488
1000,485,495,522,492
